ix,album,artist,cover_url
1,Babel,Mumford & Sons,https://i.scdn.co/image/4d7296af8473f3d3a9853848ae59737bb5cce9e8
2,Mylo Xyloto,Coldplay,https://i.scdn.co/image/e7a649b3890dc849e0f1597d6d12b4342e03ce5f
3,Brothers,The Black Keys,https://i.scdn.co/image/fee2081afe784d2e565d9a55eb1b284d83ffac55
4,The Head and the Heart,The Head and the Heart,https://i.scdn.co/image/c08c25d478dc3a645c04abc000602201ce1634d8
5,The Lumineers,The Lumineers,https://i.scdn.co/image/178f2aa69928c5880fb16ee26e7dabeecd8d50e3
6,Rivers in the Wasteland,NEEDTOBREATHE,https://i.scdn.co/image/bbc8c1445e7d13cba1660b1d5841368fc52533f0
7,The Districts EP,The Districts,https://f4.bcbits.com/img/a3787014808_5.jpg
8,Boys & Girls,Alabama Shakes,https://i.scdn.co/image/5bb0bb247f58f2b2269875ca0c0b150d9fb60ef6
9,Wish I Were Here,Various Artists,https://i.scdn.co/image/8a80648a9fb6de1d885689de492959ce6a27f3e1
10,Love's Crushing Diamond,Mutual Benefit,https://i.scdn.co/image/461ce1f4d48eecfc0e4991202c87ef5d8414f27f
11,Killing the Darlings,Pearl and the Beard,https://i.scdn.co/image/51627126e8262476edf700ea2b31ebef0bd5126e
12,Wild Youth EP,Daughter,https://i.scdn.co/image/550e70dd6ec865b6de1317c87de4df6144b84988
13,Coming Home,Leon Bridges,https://i.scdn.co/image/9bbb9727a39660cdefc0ace92eefd94fa556f764
14,Sound & Color,Alabama Shakes,https://i.scdn.co/image/8ede1467237cb6e030c45e365e4d0830c002c566
15,Cleopatra,The Lumineers,https://i.scdn.co/image/bae56f54e3d633a28c5f1be7d289af0ffad7a48a
16,Happiness Is Being with the Spinners,The Spinners,https://i.scdn.co/image/ef03eba32401f9f5d4d8c6ba2375659606915382
17,Bad Self Portraits,Lake Street Dive,https://i.scdn.co/image/1eaa0d60094f63e9b4e56c3961c89758c71eb0ea
18,The Fray,The Fray,https://i.scdn.co/image/1f5e9c2262c2d31b50d2d2cd8ae87308cf060e03
19,Half The City,St. Paul and the Broken Bones,https://i.scdn.co/image/63e1015038e25a9a1e58690641145f48ab80151c
20,Otis Blue / Otis Redding Sings Soul,Otis Redding,https://i.scdn.co/image/8e2bb5a0cb1c8da3295b9112dd3e5b003eac4f19
21,La La Land: Original Motion Picture Soundtrack,Various Artists,https://images-na.ssl-images-amazon.com/images/I/81o4i-jGxKL._SY355_.jpg
22,A Flourish and a Spoil,The Districts,https://i.scdn.co/image/e7bdeb6f5d92f6ff4daa85ff038281034717559e
23,Side Pony,Lake Street Dive,https://i.scdn.co/image/99a55cd05943ed75575bb584ab6c6efe89016d13
24,Port of Morrow,The Shins,https://i.scdn.co/image/b8e2318ff0ecab60062c1507fc72ff9b4cd04467
25,BBC Sessions,Black Keys,https://img.discogs.com/ISJVkEXxC_bjKGd0vnY-w2gIyWw=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3909077-1349357144-5206.jpeg.jpg
26,Complete & Unbelievable: The Otis Redding Dictionary of Soul,Otis Redding,https://i.scdn.co/image/17a36b4e30dfacc1c3c9f4814335d4f7d8b0279f
27,Country and Western Meets Rhythm and Blues,Ray Charles,http://www.worldwidewax.com/images/z699.jpg
28,Sea of Noise,St. Paul and the Broken Bones,https://i.scdn.co/image/c6ecce41b9df61a280b3c02c4cb836b451012551
29,The Weatherman,Gregory Alan Isakov,https://i.scdn.co/image/4a499ff2dd014061a16695dba81577f34e043717
30,Rush of Blood to the Head,Coldplay,https://i.scdn.co/image/671fb0a2ecb0c77cb693eb150bde7b6fa94b3f32
31,Portrait of a Legend,Sam Cooke,https://i.scdn.co/image/33673880fb1afe177e7645b7a594c04a988451a1